,original,prediction
30938,1139.0,1274.0
30939,1442.0,1039.0
30940,7617.0,7284.0
30941,4197.0,3407.0
30942,3485.0,1676.0
30943,1624.0,1561.0
30944,2794.0,2897.0
30945,2119.0,3356.0
30946,2876.0,2242.0
30947,89315.0,44455.0
30948,14932.0,14125.0
30949,11351.0,10179.0
30950,1128.0,1606.0
30951,1970.0,1779.0
30952,14151.0,9284.0
30953,2588.0,1320.0
30954,8587.0,8431.0
30955,4666.0,4354.0
30956,6448.0,5695.0
30957,3225.0,2413.0
30958,3943.0,2380.5
30959,13968.0,11060.0
30960,3575.0,1807.0
30961,11284.0,4520.0
30962,6054.0,5187.0
30963,4178.0,1775.0
30964,1425.0,1535.0
30965,2399.0,4203.0
30966,3490.0,3638.5
30967,1871.0,1406.0
30968,15454.0,24703.0
30969,2225.0,2262.0
30970,14473.0,17935.0
30971,2048.0,1142.0
30972,133493.0,83689.0
30973,2429.0,1043.0
30974,2774.0,2123.0
30975,1233.0,1091.0
30976,3623.0,1738.0
30977,13626.0,13723.0
30978,1570.0,1016.0
30979,1839.0,1015.0
30980,80092.0,69846.0
30981,6619.0,3322.0
30982,6716.0,4411.0
30983,49322.0,12102.5
30984,1727.0,1313.0
30985,2635.0,2861.3333333333335
30986,2655.0,1841.0
30987,8292.0,8660.5
30988,1187.0,1202.0
30989,17657.0,7150.5
30990,1571.0,1081.0
30991,12263.0,9368.0
30992,1250.0,1821.0
30993,2855.0,2071.0
30994,2480.0,1476.0
30995,1391.0,1086.0
30996,1840.0,2545.0
30997,5884.0,1422.0
30998,2675.0,1833.0
30999,13785.0,7130.0
31000,5329.0,5384.666666666667
31001,1872.0,1461.0
31002,2736.0,2868.5
31003,91524.0,73008.0
31004,3040.0,2371.0
31005,1130.0,1027.0
31006,1037.0,1183.0
31007,7032.0,3773.5
31008,3481.0,2584.5
31009,1590.0,1257.5
31010,7764.0,5146.5
31011,4358.0,2574.0
31012,1785.0,2373.5
31013,1110.0,1222.0
31014,4897.0,2651.0
31015,5498.0,2820.5
31016,1159.0,1877.0
31017,1955.0,1122.0
31018,1544.0,1066.0
31019,9207.0,5227.0
31020,4053.0,2104.0
31021,4575.0,2890.0
31022,1164.0,1537.5
31023,1442.0,1016.0
31024,1489.0,1002.0
31025,9314.0,5945.0
31026,4252.0,2993.6
31027,6963.0,3044.0
31028,3343.0,2839.6666666666665
31029,7876.0,1141.0
31030,1406.0,1290.0
31031,1049.0,1028.0
31032,1196.0,2079.0
31033,1605.0,1578.0
31034,6977.0,1133.0
31035,2211.0,1120.0
31036,9995.0,5543.666666666667
31037,16586.0,1657.5
31038,19525.0,10670.0
31039,104042.0,13190.0
31040,4274.0,3287.6666666666665
31041,9216.0,1937.0
31042,3249.0,1613.0
31043,13345.0,6236.5
31044,9710.0,3685.0
31045,1769.0,1104.0
31046,1982.0,2699.0
31047,3505.0,3159.5
31048,2776.0,1501.0
31049,74942.0,15883.0
31050,13487.0,1983.0
31051,20192.0,9567.333333333334
31052,1549.0,1390.0
31053,33384.0,88915.0
31054,2721.0,2202.0
31055,2435.0,1196.0
31056,1664.0,1755.0
31057,18674.0,9142.333333333334
31058,14385.0,4819.0
31059,56944.0,14969.0
31060,19706.0,3125.0
31061,2013.0,1458.0
31062,10713.0,2176.0
31063,35528.0,10591.5
31064,2126.0,1186.0
31065,5772.0,3198.0
31066,1888.0,2332.0
31067,3061.0,2336.5
31068,4812.0,5075.5
31069,1949.0,2516.0
31070,64109.0,41339.5
31071,5467.0,3918.0
31072,1579.0,1599.0
31073,2891.0,1224.5
31074,2769.0,3381.75
31075,8783.0,5772.0
31076,1815.0,1278.0
31077,3257.0,1581.0
31078,1833.0,1066.0
31079,7764.0,5371.0
31080,12288.0,13447.333333333334
31081,1184.0,1329.0
31082,1409.0,1718.0
31083,10162.0,13375.5
31084,1183.0,1407.0
31085,1167.0,1268.0
31086,3502.0,3342.0
31087,47271.0,68398.0
31088,5021.0,4598.0
31089,1149.0,1185.0
31090,1548.0,1204.0
31091,2857.0,1802.0
31092,9521.0,7934.0
31093,2055.0,1573.5
31094,2589.0,2851.75
31095,1176.0,1817.3333333333333
31096,75345.0,43386.5
31097,10452.0,16443.5
31098,3070.0,2839.0
31099,10639.0,11744.0
31100,1351.0,1196.0
31101,5710.0,6787.0
31102,5313.0,3443.0
31103,1118.0,2325.0
31104,7917.0,7410.5
31105,10436.0,6717.0
31106,1041.0,1445.0
31107,53646.0,65001.5
31108,8501.0,5263.5
31109,1126.0,1255.0
31110,4236.0,4212.0
